element	sub_element	const_type	na	ab	bc	cd	de
"External Walls, Windows and Doors"	Walls - Internal finishes	METAL	0.5	0.08	0.10667	0.16	0.32
INTERNAL WALLS AND DOORS	INTERNAL WALLS AND DOORS	INTERNAL WALLS AND DOORS	0.5	0.04492	0.06512	0.1124	0.21405
INTERNAL WALLS AND DOORS	WALLS AND PARTITIONS - STRUCTURE	BRICK / BLOCK / CONCRETE	0.5	0.02564	0.04274	0.10256	0.17094
INTERNAL WALLS AND DOORS	WALLS AND PARTITIONS - STRUCTURE	TIMBER / METAL STUD	0.5	0.03077	0.05128	0.12308	0.20513
INTERNAL WALLS AND DOORS	WALLS AND PARTITIONS - STRUCTURE	CONCRETE / BRICK / BLOCK / STONE	0.5	0.03205	0.04274	0.0641	0.12821
INTERNAL WALLS AND DOORS	WALLS AND PARTITIONS - STRUCTURE	PLASTER / RENDER / PLASTERBOARD LINING	0.5	0.03846	0.05128	0.07692	0.15385
INTERNAL WALLS AND DOORS	WALLS AND PARTITIONS - STRUCTURE	TIMBER LINING	0.5	0.12821	0.17094	0.25641	0.51282
INTERNAL WALLS AND DOORS	WALLS AND PARTITIONS - STRUCTURE	CERAMIC TILES	0.5	0.07692	0.10256	0.15385	0.30769
INTERNAL WALLS AND DOORS	DOORS	TIMBER	0.5	0.0641	0.08547	0.12821	0.25641
INTERNAL WALLS AND DOORS	DOORS	Metal / Plastic	0.5	0.07692	0.10256	0.15385	0.30769
SANITARY SERVICES	GENERALLY	GENERALLY	0.5	0.07123	0.09497	0.14245	0.2849
MECHANICAL SERVICES	MECHANICAL SERVICES	MECHANICAL SERVICES	0.5	0.11364	0.15152	0.22727	0.45455
MECHANICAL SERVICES	HEAT SOURCE & EQUIPMENT	GENERALLY	0.5	0.13369	0.17825	0.26738	0.53476
MECHANICAL SERVICES	"Heating distribution, emitters and controls"	GENERALLY	0.5	0.11364	0.15152	0.22727	0.45455
MECHANICAL SERVICES	Hot and cold water system	Generally including heat source/calorifiers for heating the water	0.5	0.0947	0.12626	0.18939	0.37879
MECHANICAL SERVICES	GAS DISTRIBUTION	GENERALLY	0.5	0.09091	0.12121	0.18182	0.36364
MECHANICAL SERVICES	MECHANICAL VENTILATION / AIR CONDITIONING	MECHANICAL VENTILATION	0.5	0.15152	0.20202	0.30303	0.60606
MECHANICAL SERVICES	MECHANICAL VENTILATION / AIR CONDITIONING	AIR CONDITIONING	0.5	0.11962	0.15949	0.23923	0.47847
ELECTRICAL SERVICES	CONTROL GEAR	GENERALLY	0.5	0.08418	0.11223	0.16835	0.3367
ELECTRICAL SERVICES	POWER	GENERALLY	0.5	0.09091	0.12121	0.18182	0.36364
ELECTRICAL SERVICES	LIGHTING SYSTEM	GENERALLY	0.5	0.16234	0.21645	0.32468	0.64935
